Variable Name            Type       Scope      Script
GaveSoul                 : flag     : global   : choice test
GotRobbed                : flag     : global   : robbers1
Hobo1                    : flag     : global   : hobo2
PaidPrince               : flag     : global   : princeRandom
PowerBar                 : flag     : global   : There's A Bar
SBAgreedWork             : flag     : global   : getMail
SBCanPushButton          : flag     : global   : factoryWorkerEntrance
SBCanPushButton          : flag     : global   : firstTask
SBDidMenialLabor         : flag     : global   : firstTask
SBReceivedPromotion1     : flag     : global   : bossPromotion1
SupaRewarded             : flag     : global   : foundHQ
VisitedPier              : flag     : global   : Pier
a                        : integer  : global   : HeroHQEntry
address                  : string   : local    : choice test
ask                      : integer  : local    : afterTutorial
asked                    : integer  : global   : ask out
barLocked                : flag     : global   : There's A Bar
bought                   : flag     : local    : cashierBuy
businessEvent            : flag     : global   : BusinessDistrict
c                        : integer  : global   : onSplashAttacked
c                        : integer  : global   : splash test
c                        : integer  : local    : Ms Pancakes Mishap
c                        : integer  : local    : cashierAttack
c                        : integer  : local    : shopper
calledTrain              : flag     : global   : Subway
calledTrain              : flag     : global   : TrainCar
calledTrain              : flag     : global   : trainSelection
cost                     : float    : local    : cashierBuy
counter                  : integer  : local    : choice test
counter                  : integer  : local    : intro
damagedBread             : flag     : global   : attackCart
day                      : integer  : global
debugger                 : flag     : global   : actionTest
desc                     : string   : local    : Ms Pancakes Mishap
desc                     : string   : local    : robbers1
explainedShit            : flag     : global   : beforeTheShit
explainedTrain           : flag     : global   : trainSelection
extra                    : integer  : local    : intro
false                    : string   : global
female                   : string   : global
field                    : flag     : local    : afterTutorial
fill                     : string   : local    : superTutIntro
found                    : flag     : global   : grimReaper
found                    : flag     : local    : BusinessDistrict
found                    : flag     : local    : CommercialDistrictNW
found                    : flag     : local    : Mansion
found                    : flag     : local    : Pier
found                    : flag     : local    : superGlare
foundHQ                  : flag     : global   : HeroHQ
foundHQ                  : flag     : global   : VillainHQ
g                        : flag     : local    : GangstaWar
g                        : string   : local    : annoyedPancakes
greeting                 : string   : local    : credits
helpingMarquis           : flag     : global   : GangstaWar
i                        : integer  : local    : genericCivilian
i                        : integer  : local    : genericWitch
inSupTut                 : flag     : global   : afterTutorial
inSupTut                 : flag     : global   : superTutIntro
limitCounter             : integer  : local    : trainSelection
loc                      : string   : local    : trainSelection
lvC                      : float    : local    : girlfriend
m                        : string   : local    : There's A Bar
m                        : string   : local    : attackedPartner
m                        : string   : local    : onRobotAttacked
m                        : string   : local    : secretary
male                     : string   : global
microchipQuestStarted    : flag     : global   : hobo2
mustApprehendGangsta     : flag     : global   : GangstaWar
mustApprehendGangsta     : flag     : global   : foundGangsta
myPlace                  : local    : flag     : girlfriend
name                     : string   : local    : Ms Pancakes Mishap
name                     : string   : local    : intro
name                     : string   : local    : trainSelection
night                    : integer  : global
noon                     : integer  : global
not                      : integer  : local    : realGangsta
notMoving                : flag     : global   : TrainCar
notMoving                : flag     : global   : trainSelection
num                      : integer  : local    : superGlare
pC                       : integer  : local    : onAttackedDisappointed
pC                       : integer  : local    : supAttackedPartner
part                     : integer  : local    : actionTest
playergender             : string   : local    : intro
playertype               : integer  : local    : intro
punchC                   : integer  : local    : attackedPartner
punchCount               : integer  : local    : tutOnAttacked
r                        : float    : local    : ask out
sawBread                 : flag     : global   : cart
shotCount                : integer  : local    : afterTutorial
stealer                  : flag     : global   : cart
str                      : string   : local    : GangstaWar
talked                   : integer  : local    : richComplaint
talkedToDarrius          : flag     : global   : realGangsta
talkedToGangsta          : flag     : global   : GangstaWar
talkedToGrim             : integer  : global   : grimResponse
talkedToHobo             : flag     : global   : hobo2
time                     : integer  : global
title                    : string   : local    : disappointedVillain
tookBread                : flag     : global   : cart
touchedC                 : integer  : global   : cashierTouch
toucher                  : flag     : global   : cashierBuy
toucher                  : flag     : global   : cashierTouch
trainArrived             : flag     : global   : Subway
trainArrived             : flag     : global   : TrainCar
trainArrived             : flag     : global   : trainSelection
trainDest                : string   : global
trainLoc                 : string   : global
true                     : string   : global
tutAsked                 : integer  : global   : tutDescribe
txt                      : integer  : local    : attackedPartner
txt                      : integer  : local    : girlfriend
txt                      : integer  : local    : supAttackedPartner
